"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Joust Through","W","U","1631","3.67","338","","2050","84.7%","59.7%","350","","493","","843","62.5%","1189","57.8%","4.7pp"
"Luminous Rebuke","W","C","4533","3.77","1025","4.95","6283","85.8%","62.1%","1062","61.1%","1625","63.4%","2687","62.5%","3593","61.7%","0.8pp"
"Prideful Parent","W","C","5198","4.53","985","6.28","5664","81.9%","60.1%","915","60.4%","1403","61.2%","2318","60.9%","3321","59.7%","1.2pp"
"Raise the Past","W","R","900","4.56","92","","134","21.3%","","28","","39","","67","","67","",""
"Skyknight Squire","W","R","300","","168","","1093","90.9%","60.0%","175","","271","","446","","650","57.5%",""
"Squad Rallier","W","C","6722","6.21","942","8.86","3166","47.4%","60.6%","556","59.4%","756","59.5%","1312","59.5%","1860","61.4%","-1.9pp"
"Sun-Blessed Healer","W","U","1166","2.56","477","","3091","89.7%","61.1%","538","63.0%","728","60.3%","1266","61.5%","1826","60.8%","0.7pp"
"Twinblade Blessing","W","U","2585","6.49","228","","135","8.4%","","20","","34","","54","","82","",""
"Valkyrie's Call","W","M","155","","92","","546","85.0%","63.2%","78","","132","","210","","336","",""
"Vanguard Seraph","W","C","5985","5.38","791","7.94","3056","54.6%","60.1%","525","57.0%","767","63.1%","1292","60.6%","1774","59.6%","1.0pp"
"Arcane Epiphany","U","U","1866","4.57","479","","2728","79.6%","60.2%","407","","769","62.8%","1176","61.7%","1551","59.0%","2.7pp"
"Archmage of Runes","U","R","438","","191","","1166","85.4%","57.8%","196","","345","","541","59.3%","632","56.2%","3.2pp"
"Bigfin Bouncer","U","C","4950","4.42","1279","5.69","7594","82.8%","60.3%","1249","58.8%","2137","63.6%","3386","61.9%","4201","59.0%","2.8pp"
"Cephalid Inkmage","U","U","2307","5.94","347","","1102","45.1%","56.4%","185","","284","","469","","633","56.9%",""
"Clinquant Skymage","U","U","2237","5.38","240","","670","39.6%","55.4%","96","","186","","282","","387","",""
"Curator of Destinies","U","R","327","","208","","1334","88.6%","65.8%","208","","392","","600","71.3%","738","61.4%","10.0pp"
"Drake Hatcher","U","R","469","","205","","1285","86.1%","59.5%","205","","378","","583","61.6%","702","57.5%","4.0pp"
"Elementalist Adept","U","C","6582","6.73","935","9.64","3123","46.4%","59.7%","518","58.3%","861","63.3%","1379","61.4%","1732","58.4%","3.0pp"
"Erudite Wizard","U","C","6971","6.99","767","10.27","1817","33.3%","58.2%","333","","515","60.8%","848","59.6%","963","57.0%","2.5pp"
